Outcome,12+,12-17,18-25,18+,year_pair,State,Year,Poverty_Rate,Population,Median_Income
Marijuana Use in Past Year,0.150833,0.195456,0.365715,0.14566,2002-03,Colorado,2002,9.7,4490406,48294
Marijuana Use in Past Year,0.133211,0.182669,0.311575,0.127467,2003-04,Colorado,2003,9.8,4528732,49940
Marijuana Use in Past Year,0.123835,0.165631,0.326038,0.118992,2004-05,Colorado,2004,11.1,4575013,50886
Marijuana Use in Past Year,0.128062,0.159648,0.3586,0.124513,2005-06,Colorado,2005,11.1,4631888,50449
Marijuana Use in Past Year,0.128514,0.162563,0.348226,0.124797,2006-07,Colorado,2006,12,4720423,55697
Marijuana Use in Past Year,0.136795,0.166154,0.356056,0.133669,2007-08,Colorado,2007,12,4803868,61141
Marijuana Use in Past Year,0.151197,0.185465,0.385898,0.147627,2008-09,Colorado,2008,11.4,4889730,60943
Marijuana Use in Past Year,0.169277,0.190516,0.409199,0.167112,2009-10,Colorado,2009,12.9,4972195,55930
Marijuana Use in Past Year,0.1623,0.191051,0.41287,0.159359,2010-11,Colorado,2010,13.4,5047539,60233
Marijuana Use in Past Year,0.162245,0.17639,0.393922,0.160784,2011-12,Colorado,2011,13.5,5121900,58629
Marijuana Use in Past Year,0.189215,0.187599,0.424241,0.189379,2012-13,Colorado,2012,13.7,5193660,57255
Marijuana Use in Past Year,0.207439,0.208121,0.439516,0.207368,2013-14,Colorado,2013,13,5270774,63371
Marijuana Use in Past Year,0.230859,0.183526,0.45239,0.235701,2014-15,Colorado,2014,12,5352637,60940
Marijuana Use in Past Year,0.231229,0.16207,0.47535,0.238245,2015-16,Colorado,2015,11.5,5454328,66596
Marijuana Use in Past Year,0.248592,0.169662,0.488089,0.256547,2016-17,Colorado,2016,11,5543844,70566
Marijuana Use in Past Year,0.267842,0.169253,0.492342,0.27772,2017-18,Colorado,2017,10.3,5617421,74984
Marijuana Use in Past Year,0.263223,0.175998,0.485443,0.271876,2018-19,Colorado,2018,9.6,5697155,73034
Marijuana Use in Past Year,0.2656440895,0.1455395628,0.4742020701,0.2774138032,2021-22,Colorado,2021,9.7,5814036,84954
Marijuana Use in Past Year,0.2960948045,0.1392879276,0.4649477784,0.3111410431,2022-23,Colorado,2022,11.1,5850935,89930
Marijuana Use in Past Year,0.134996,0.176449,0.361625,0.130094,2002-03,Washington,2002,11.4,6052349,45183
Marijuana Use in Past Year,0.116183,0.157269,0.295408,0.111461,2003-04,Washington,2003,11,6104115,47508
Marijuana Use in Past Year,0.113781,0.131582,0.298666,0.111776,2004-05,Washington,2004,13.1,6178645,49922
Marijuana Use in Past Year,0.122397,0.146233,0.326374,0.119717,2005-06,Washington,2005,11.9,6257305,50646
Marijuana Use in Past Year,0.118219,0.141429,0.315005,0.115632,2006-07,Washington,2006,11.8,6370753,54723
Marijuana Use in Past Year,0.121945,0.141656,0.308054,0.119808,2007-08,Washington,2007,11.4,6461587,58080
Marijuana Use in Past Year,0.128068,0.152379,0.341081,0.125504,2008-09,Washington,2008,11.3,6562231,56631
Marijuana Use in Past Year,0.139792,0.153233,0.384986,0.138413,2009-10,Washington,2009,12.3,6667426,60392
Marijuana Use in Past Year,0.151026,0.174755,0.38714,0.148607,2010-11,Washington,2010,13.4,6743009,56163
